Objekt		Anzahl der Parameter
Nicht zulässig für Nassschleifen 24		20
Nicht zulässig für handgeführtes Schleifen 24		20
Nicht falten oder zusammenschieben 24		20
Nicht abdecken 24		20
Muskelbetriebene Boote verboten 24		20
Mitführen von Metallteilen verboten 24		20
Mitführen von Hunden verboten 24		20
Mit Wasser spritzen verboten 24		20
Mit Wasser löschen verboten 24		20
Maschinenbetriebene Boote verboten 24		20
Laufen verboten 24		20
Kopfsprung verboten 24		20
Knoten von Seilen verboten 24		20
Kitesurfen verboten 24		20
Keine schwere Last 24		20
Keine offene Flamme 24		20
Keine Nadeln einstechen 24		20
Kein Zutritt für Personen mit Implantaten aus Metall 24		20
Kein Zutritt für Personen mit Herzschrittmachern 24		20
Kein Trinkwasser 24		20
Jet-Ski verboten 24		20
Hinter den Schwenkarm treten verboten 24		20
Hineinfassen verboten 24		20
Geräte-Tauchen verboten 24		20
Für Fußgänger verboten 24		20
Für Flurförderzeuge verboten 24		20
Fotografieren verboten 24		20
Essen und Trinken verboten 24		20
Eingeschaltete Mobiltelefone verboten 24		20
Betreten der Fläche verboten 24		20
Besteigen für Unbefugte verboten 24		20
Berühren verboten 24		20
Benutzen von Handschuhen verboten 24		20
Benutzen des unvollständigen Gerüsts verboten 24		20
Aufzug im Brandfall nicht benutzen 24		20
Aufsteigen verboten 24		20
Allgemeines Verbotszeichen 24		20
Abstellen oder Lagern verboten 24		20
ÜE 24		20
Überflur-Hydrant 24		20
Weiche Bedachung 24		20
Wasserstaueinrichtung 24		20
Wandhydrant 24		20
Verschluss, Abdeckung Oberflächenwasser-Einlauf 24		20
Unterflur-Hydrant 24		20
Stationärer Werfer (Monitor) 24		20
Stationäre Löscheinrichtung 24		20
Sprühflutanlage BedSt 24		20
Sprühflutanlage 24		20
Sprinklerzentrale 24		20
Sprinkleranlage, BedSt 24		20
Sprinkleranlage 24		20
Schmutz-, Mischwasserschacht 24		20
Schlauchanschlussventil trocken C 24		20
Schlauchanschlussventil nass C 24		20
Schaum-Löschanlage Einspeisung 24		20
Schaum-Löschanlage BedSt 24		20
Schaum-Löschanlage 24		20
Saugstelle 24		20
RWA Zuluft 24		20
Rauchschutztür Schild 1 24		20
Rauch- und Wärmeabzugseinrichtung, Bedienstelle 24		20
Rauch- und Wärmeabzugseinrichtung 24		20
Pulverlöschanlage BedSt 24		20
Pulverlöschanlage 24		20
Oberflächenwasser-Schachtl 24		20
Oberflächenwasser-Einlauf 24		20
Nicht mit Wasser löschen 24		20
Mechanische Entrauchung BedSt 24		20
Mechanische Entrauchung 24		20
Löschwasserrückhaltung 24		20
Löschwasserbrunnen 24		20
Löschwasser-Sauganschluss überflur 24		20
Löschwasser-Sauganschluss unterflur 24		20
Löschwasser-Pumpe 24		20
Löschwasser-DEP 24		20
Löschwasser- Einspeiseeinrichtung, B-Anschluss 24		20
Löschmittelvorrat allgemein 24		20
Komplextrennwand 24		20
Information für die Feuerwehr 24		20
Hinweis auf Wasserhaupthahn 24		20
Hauptschalter 24		20
Geschossdecke mit Durchbruch 24		20
Geschossdecke 24		20
Gashaupthahn 24		20
FwStromversorgung 24		20
FwGebäudefunk BedSt 24		20
FSE 24		20
FSD 24		20
Fluchttunnel 24		20
Feuerwehrschließung 24		20
Feuerwehr-Aufzug 24		20
FBF 24		20
FAT 24		20
Erdungseinrichtung 24		20
ELA Einsprechstelle 24		20
CO2 Löschanlage BedSt 24		20
CO2 Löschanlage 24		20
Brandwand 24		20
Brandschutzrolladen 24		20
Brandschutzklappe 24		20
BMZ 24		20
Blitzleuchte 24		20
Berieselungsanlage, Bedienstelle 24		20
Berieselungsanlage 24		20
Anleiterstelle 24		20
Treppe für Sehbehinderte 02 24		20
Treppe für Sehbehinderte 01 24		20
Sitzplätze 02 24		20
Sitzplätze 01 24		20
Schrägaufzug, Treppenplattformlift 24		20
Rollstuhlgeeignete Zugänglichkeit 24		20
Pers. aufz. gem. MBO, DIN18040, DIN EN 81-70 24		20
Parkplatz für Menschen mit Behinderung 24		20
Nachw. Barrierefr. – Aufstellung EW-Bau 24		20
Markierungen 24		20
Konzept Barrierefreiheit - Qualif. ES-Bau 24		20
Höranlagen 24		20
Guter rollstuhlgerechter Aufzug 24		20
Gute rollstuhlgerechte Zugänglichkeit 24		20
Evakuierung 24		20
Einschränkung der visuellen Wahrnehmung 24		20
Einschränkung der Kognition 24		20
Einschränkung der auditiven Wahrnehmung 24		20
Einschr. Motorik, Kondition, Anthropometrie 24		20
Bodenindikatoren 24		20
Bewegungsflächen 24		20
Bedingt rollstuhlgeeignete Zugänglichkeit 02 24		20
Bedingt rollstuhlgeeignete Zugänglichkeit 01 24		20
Bedienelement 02 24		20
Bedienelement 01 24		20
Barrierefrei Türen 02 24		20
Barrierefrei Türen 01 24		20
Barrierefrei Rampen 02 24		20
Barrierefrei Rampen 01 24		20
Aufzugsanlagen 24		20
GlazingArea_DACH		19
ui_WinSettOpening_m		19
m_DSHanger		19
beamEndPlate_m		19
WheelchairManDetailed		19
Orkide_KSOR6803		19
Oktavia_CK089355		19
Oktavia_CK089350		19
Marylin_KSMR3401		19
Maiora_KSMA3201		19
Kardelen_KSKA5903		19
Bouquet_CK081350		19
Acelya_KSAC5503		19
Ausdruck Stiftfarben 24		19
Waschbecken Symbol 24		19
X-Kasten Symbol 24		19
ui_TurningCurvesDACH_m		18
Saragossa_AW18		18
Samos_AW02		18
Padua_BW35		18
Lotus_AR36		18
Lido_BW36		18
Kairo_AR29		18
m_GutterStrainer		18
CWPanelSilhouette		18
quantity_text_formatter		18
ProfileConverter		18
Tekturblatt-Vorlage		18
Doppelwbecken Symbol 24		18
Eckduschwanne Symbol 24		18
Duschwanne Symbol 24		18
Internationales Schutzzeichen Kulturgut 24		18
Ätzende Stoffe 24		18
Warnung vor Wasserski-Bereich 24		18
Warnung vor Wachhund 24		18
Warnung vor tiefem Wasser 24		18
Warnung vor Strandseglern 24		18
Warnung vor Steinschlag von instabiler Klippe 24		18
Warnung vor steil abfallendem Strand 24		18
Warnung vor starker Strömung 24		18
Warnung vor Slipanlage 24		18
Warnung vor Schiffsverkehr 24		18
Warnung vor Parasailing 24		18
Warnung vor Kitesurfern 24		18
Warnung vor instabiler Klippenkante 24		18
Warnung vor hoher Brandung 24		18
Warnung vor Hindernissen im Kopfbereich 24		18
Warnung vor Fräswelle 24		18
Warnung vor flachem Wasser 24		18
Warnung vor dünnem Eis 24		18
Warnung vor Abwassereinleitung 24		18
Treppen 24		18
Stolpergefahr 24		18
Schwebende Last 24		18
Rutschgefahr 24		18
Rotierende Walzen 24		18
Radioaktive Stoffe 24		18
Quetschgefahr 24		18
Optische Strahlung 24		18
Magnetisches Feld 24		18
Laserstrahl 24		18
Kälte 24		18
Kippgefahr beim Walzen 24		18
Heiße Oberfläche 24		18
Heiße Medien 24		18
Handverletzungen 24		18
Giftige Stoffe 24		18
Gesundheitschädliche oder reizende Stoffe 24		18
Gefährliche elektrische Spannung 24		18
Gefahrenstelle 24		18
Gasflaschen 24		18
Förderanlage im Gleis 24		18
Furförderzeuge 24		18
Fräswelle 24		18
Feuergefährliche Stoffe 24		18
Explosionsgefährliche Stoffe 24		18
Explosionsfähige Atmosphäre 24		18
Elektromagnetisches Feld 24		18
Brandfördernde Stoffe 24		18
Biogefährdung 24		18
Batterien 24		18
Automatischer Anlauf 24		18
Absturzgefahr 24		18
Öffnen im Uhrzeigersinn 24		18
Öffnen gegen den Uhrzeigersinn 24		18
Tür öffnet d. Ziehen a. d. rechten Seite 24		18
Tür öffnet d. Ziehen a. d. linken Seite 24		18
Tür öffnet d. Drücken a. d. Rechten Seite 24		18
Tür öffnet d. Drücken a. d. Linken Seite 24		18
Rettungsweg rechts 24		18
Rettungsweg links 24		18
Fluchtleiter 24		18
Offnung_Bogen_m_S		17
OpeningLines		17
WC 5 Symbol 24		17
WC 4 Symbol 24		17
WC 3 Symbol 24		17
WC 2 Symbol 24		17
WC 1 Symbol 24		17
Urinal 2 Symbol 24		17
Urinal 1 Symbol 24		17
Wäschetrockner 24		17
Übergang benutzen 24		17
Weitgehend lichtundurchlässigen Augenschutz benutzen 24		17
Warnweste benutzen 24		17
Vor Wartung oder Reparatur freischalten 24		17
Vor Benutzung erden 24		17
Sicherheitsgurt benutzen 24		17
Schweißmaske benutzen 24		17
Schutzschürze benutzen 24		17
Schutzkleidung benutzen 24		17
Rettungsweste benutzen 24		17
Netzstecker ziehen 24		17
Maske benutzen 24		17
Kopfschutz benutzen 24		17
Kleinkinder durch Augenabschirmung schützen 24		17
Kinder in Wassereinrichtungen beaufsichtigen 24		17
Hände waschen 24		17
Hupen 24		17
Hautschutzmittel benutzen 24		17
Handschutz benutzen 24		17
Handlauf benutzen 24		17
Gesichtsschutz benutzen 24		17
Geschlossen Halten 24		17
Gehörschutz benutzen 24		17
Fußschutz benutzen 24		17
Fußgängerweg benutzen 24		17
Augenschutz benutzen 24		17
Auffanggurt benutzen 24		17
Atemschutz benutzen 24		17
Anleitung beachten 24		17
Allgemeines Gebotsschild 24		17
Öffentliche Rettungsausrüstung 24		17
Trinkwasser 24		17
Sammelstelle 24		17
Richtungsangabe schräg 24		17
Richtungsangabe gerade 24		17
Notruftelefon 24		17
Notdusche 24		17
Notausstieg 24		17
Notausschalter 24		17
Notausgangsvorrichtung nach Zerschlagen einer Scheibe 24		17
Notausgangrichtung schräg 24		17
Notausgangrichtung gerade 24		17
Notausgang Rettungsfenster 24		17
Notausgang 3 24		17
Leiter 24		17
Krankentrage 24		17
Hausalarm 24		17
Fluchtweg Rettungszeichen 02 24		17
Fluchtweg Rettungszeichen 01 24		17
Feuerlöscher 24		17
Feuer Schlauch 24		17
Erste Hilfe 24		17
Defibrillator 24		17
Brandmeldetelefon 24		17
Brandmelder 24		17
Brandbekämpfungsmittel 24		17
Augenspüleinrichtung 24		17
Arzt 24		17
Nebenzufahrt 24		17
Hauptzufahrt 24		17
Gebäudeeingang 24		17
EDV 24		17
Absperreinrichtung, Rohrleitung 24		17
Symbol Übereck 2 24		17
Symbol Übereck 1 24		17
Offnung_schrag-Abschluss_m_S		16
Offnung_Dreieck-Absch_m_S		16
Schiebetore_profils_CH		16
Geschirrspüler 24		16
Symbol Kreuz 24		16
Symbol Diagonal 24		16
Sign_Macro_BarrierFree		15
VehicleFlag		15
ui_arrow		15
ui_steelJoistBearing_m		15
fa_knobtyp		15
fa_MicOvenDoor		15
ui_CreateCustomPanelInfo_m		15
Electric Hobs		15
Autowaschmaschine		15
Nordpfeil 1 24		15
Gefälleangabe 24		15
Mehrfach-Steckdose mit Schutzkontakt 24		15
Wäscheschleuder 24		15
Elevator Button		14
GetRailingGlobals		14
DetlevelFunctionMacro		14
Headboard_		14
Cushion		14
pushdoor_pr_to_da		14
pushdoor_pr_cl_da		14
Sink_s		14
Nordpfeil 2 24		14
Steckdose mit Schutzkontakt für Drehstrom 24		14
Leuchte allgemein 24		14
Schleppkurve Sattelanhänger 24		14
Schleppkurve Müllfahrzeug 3 24		14
Schleppkurve Müllfahrzeug 2 24		14
Schleppkurve Müllfahrzeug 1 24		14
Schleppkurve LKW 24		14
Schleppkurve Kleiner LKW 24		14
Schleppkurve Großer LKW 24		14
Schleppkurve Gelenkbus 24		14
Schleppkurve Bus 3 24		14
Schleppkurve Bus 2 24		14
Schleppkurve Bus 1 24		14
Schleppkurve Auto 24		14
Schleppkurve Anhänger 24		14
treeTopViews		13
da_handletyp		13
WallContourDivider		13
Resize Wall End		13
GetDWSymbSettings		13
Dämmung, weich 24		13
Verhalten Brandfall 24		13
d_slide_panelt_100_CH		12
ui_steelJoistWeb_m		12
m_DSHangerProfiles		12
rotdoor_va_to_da		12
door_va_to_da		12
rotdoor_va_cl_da		12
arcdoor_va_cl_da		12
glas_sw_to_da		12
barglasfix_sw_to_da		12
45door_sw_to_da		12
glas_sw_cl_da		12
rotdoor_pr_to_da		12
rotdoor_pr_cl_da		12
Tap4_s		12
Backofen_front		12
Schraffur-Typen 24		12
Linien-Typen 24		12
Unterflursteckdose 24		12
Steckdose mit Schutzkontakt nicht schaltbar 24		12
Doppelwechselschalter 24		12
Verhalten Unfall 24		12
Offnung_schrag-Abschluss_m_CH		11
Offnung_Dreieck-Absch_m_CH		11
m_GutterProfiles		11
m_DSProfiles		11
treeTopSymbol3		11
treeTopSymbol2		11
treeTopSymbol1		11
treeTopContour		11
treeSideViews		11
treeSideSymbolWin		11
treeSideSymbolSum		11
treeSideCont2		11
treeSideCont1		11
PalmSideView		11
HouseSideView		11
GetStairGlobals		11
DetlevelDWFunctionMacro		11
Bedlegtyp		11
glas_va_to_da		11
door_va_cl_da		11
roundglas_sw_to_da		11
arcdoor_sw_to_da		11
45glas_sw_to_da		11
roundglas_sw_cl_da		11
45glas_sw_cl_da		11
Tap5_s		11
Tap3_s		11
Tap2_s		11
Tap1_s		11
SetKnob		11
Abwaschmaschine		11
Maßstab 24		11
Steckdose mit Trenntrafo 24		11
Steckdose mit Abdeckung 24		11
Schutzk.steckd.abschalt 24		11
Schutzk.steckd. v.Schalt 24		11
E-Zapfsäule 24		11
Daternsteckdose 24		11
Leuchte mit Schalter 24		11
Dimmbare Leuchte 24		11
Stromstoßschalter 24		11
Dämmung, hart 24		11
Sporthalle allgemein 24		11
Sporthalle 3 Einheiten 24		11
Sporthalle 2 Einheiten 24		11
Sporthalle 1 Einheit 24		11
Freisportanlage allg 24		11
Freisportanlage 6 24		11
Freisportanlage 5 24		11
Freisportanlage 4 24		11
Freisportanlage 3 24		11
Freisportanlage 2 24		11
Freisportanlage 1 24		11
Yachthafen 24		11
Tennisplatz 24		11
Tennishalle 24		11
Skisprungschanze 24		11
Skilift 24		11
Skigelände 24		11
Segelrevier 24		11
Schießsportplatz 24		11
Schießsporthalle 24		11
Ruderbecken 24		11
Rollsportplatz 24		11
Reitplatz 24		11
Reithalle 24		11
Regattabahn 24		11
Radsportanlage überdacht 24		11
Radsportanlage n. überd 24		11
Kunsteisbahn n. überd 24		11
Golfplatz 24		11
Flugsportgelände 24		11
Eislaufhalle 24		11
Campingplatz 24		11
Bootshaus 24		11
Sonderschule 24		11
Schule allgemein 24		11
Realschule 24		11
Kleinkinderspielplatz 24		11
Kinderspielplatz 24		11
Jugendspielplatz 24		11
Hauptschule 24		11
Gymnasium 24		11
Grundschule 24		11
Gesamtschule 24		11
Berufsschule 24		11
Naturfreibad 24		11
Hallenbad allgemein 24		11
Hallenbad 4 Einheiten 24		11
Hallenbad 3 Einheiten 24		11
Hallenbad 2 Einheiten 24		11
Hallenbad 1 Einheit 24		11
Freibad allgemein 24		11
Freibad 4 24		11
Freibad 3 24		11
Freibad 2 24		11
Freibad 1 24		11
Rollstuhlbenutzer 2 24		11
m_GutterHangerProfiles		10
fa_OfficechairSeat		10
Eigenes Türblatt		10
Eigenes Fassaden-Paneel		10
Eigener Knopf		10
Eigener Griff		10
Eigener Fensterflügel		10
Eigener Fassaden-Rahmen		10
Eigene Verschattung		10
Eigene Objektkomponente		10
Eigene Fassaden-Profile		10
pant_ve_tr21_da		10
segmkor_ve_tr20_da		10
pant_ve_tr20_da		10
pant_fali_ve_tr20_da		10
pant2_ve_tr20_da		10
pant_ve_tr11_da		10
segmkor_ve_tr10_da		10
pant_ve_tr10_da		10
pant2_ve_tr10_da		10
segmkor_ve_to_da		10
pant_ve_to_da		10
pant_fali_ve_to_da		10
pant2_ve_to_da		10
pant_ve_td21_da		10
segmkor_ve_td20_da		10
pant_ve_td20_da		10
pant_fali_ve_td20_da		10
pant2_ve_td20_da		10
pant_ve_td11_da		10
segmkor_ve_td10_da		10
pant_ve_td10_da		10
pant2_ve_td10_da		10
pant_ve_ro21_da		10
segmkor_ve_ro20_da		10
pant_ve_ro20_da		10
pant_fali_ve_ro20_da		10
pant2_ve_ro20_da		10
pant_ve_ro11_da		10
segmkor_ve_ro10_da		10
pant_ve_ro10_da		10
pant2_ve_ro10_da		10
segmkor_ve_po20_da		10
pant_ve_po20_da		10
pant2_ve_po20_da		10
segmkor_ve_po10_da		10
pant_ve_po10_da		10
pant2_ve_po10_da		10
rollhang_ve_pl_da		10
segmkor_ve_cl20_da		10
pant_ve_cl20_da		10
pant2_ve_cl20_da		10
segmkor_ve_cl10_da		10
pant_ve_cl10_da		10
pant2_ve_cl10_da		10
pant_va_to_da		10
mirror_va_to_da		10
fog_va_to_da		10
sideprof_sw_to_da		10
sideglas_sw_to_da		10
sideglasfix_sw_to_da		10
arctop_sw_to_da		10
sideprof_sw_cl_da		10
sideglas_sw_cl_da		10
sideglasfix_sw_cl_da		10
frame223_pr_to_da		10
frame222_pr_to_da		10
framecut_pr_cl_da		10
frame2_pr_cl_da		10
Maiora_bidetmacro2		10
Kardelen_bidetmacro		10
Doppelsteckdose 24		10
Antennensteckdose 24		10
Heißwasserspeicher, Boiler 24		10
Durchlauferhitzer 24		10
Wasser 24		10
Gas 24		10
Fernwärme 24		10
Elektrizität 24		10
Abwasser 24		10
Ablagerung 24		10
Abfall 24		10
Öffentliche Parkfläche 24		10
Verkehrsberuhigter Ber 24		10
Segelfluggelände 24		10
Landeplatz 24		10
Hubschrauberlandeplatz 24		10
Fußgängerbereich 24		10
Flughafen 24		10
Ohne Flächendarstellung 24		10
Flächen für Aufschütt 24		10
Flächen für Abgrabungen 24		10
Schacht 2 24		10
Schacht 1 24		10
Verk. u. Nachr.übermittl 24		10
Verarbeitendes Gewerbe 24		10
Ohne Erwerbscharakter 24		10
Land- u. Forstwirtschaft 24		10
Kreditinstitute 24		10
Handel 24		10
Gebietskörperschaften 24		10
Energiewirtschaft 24		10
Dienstleistungen 24		10
Leuchtturm 24		10
Öff. Verwaltungen 24		10
Sport Einrichtungen 24		10
Spielanlagen 24		10
Soziale Einrichtungen 24		10
Schutzbauwerke 24		10
Schulen 24		10
Post 24		10
Kulturelle Einrichtungen 24		10
Kirchen 24		10
Gesundheitl. Einricht 24		10
Feuerwehr 24		10
ui_buttons_m		9
deskAcc_m		9
ui_tabIDlistHierarchy_m		9
CasingEnable		9
rog_ve_tr21_da		9
rog_ve_tr20_da		9
arckor_ve_tr20_da		9
arckor_ve_tr10_da		9
rogpant_ve_to_da		9
rog_ve_td21_da		9
rog_ve_td20_da		9
arckor_ve_td20_da		9
arckor_ve_td10_da		9
rog_ve_ro21_da		9
rog_ve_ro20_da		9
arckor_ve_ro20_da		9
arckor_ve_ro10_da		9
rog_ve_po20_da		9
arckor_ve_po20_da		9
arckor_ve_po10_da		9
roundglas_ve_pl_da		9
rog_ve_pl_da		9
archang_ve_pl_da		9
rog_ve_cl20_da		9
arckor_ve_cl20_da		9
arckor_ve_cl10_da		9
prof3r_va_cl_da		9
arcframe_va_cl_da		9
top_sw_to_da		9
frame23_pr_to_da		9
vent1_bi		9
knob99		9
knob89		9
knob79		9
knob69		9
knob59		9
knob39		9
knob29		9
knob19		9
knob119		9
knob109		9
Rollierung 24		9
Text Dreieck 24		9
Kreis halbvoll 24		9
vent1_bw		8
fa_pillow		8
LoadQueue		8
FM_types		8
Pillow		8
fog_ve_tr21_da		8
falcs_kor_ve_tr21_da		8
fog_ve_tr20_da		8
falcs_kor_ve_tr20_da		8
fog_ve_tr11_da		8
falcs_kor_ve_tr11_da		8
fog_ve_tr10_da		8
falcs_kor_ve_tr10_da		8
fog_ve_to_da		8
falcs_kor_ve_to_da		8
fog_ve_td21_da		8
falcs_kor_ve_td21_da		8
fog_ve_td20_da		8
falcs_kor_ve_td20_da		8
fog_ve_td11_da		8
falcs_kor_ve_td11_da		8
fog_ve_td10_da		8
falcs_kor_ve_td10_da		8
fog_ve_ro21_da		8
falcs_kor_ve_ro21_da		8
fog_ve_ro20_da		8
falcs_kor_ve_ro20_da		8
fog_ve_ro11_da		8
falcs_kor_ve_ro11_da		8
fog_ve_ro10_da		8
falcs_kor_ve_ro10_da		8
fog_ve_po20_da		8
falcs_kor_ve_po20_da		8
fog_ve_po10_da		8
falcs_kor_ve_po10_da		8
hang_ve_pl_da		8
fog_ve_pl_da		8
fog_ve_cl20_da		8
falcs_kor_ve_cl20_da		8
fog_ve_cl10_da		8
falcs_kor_ve_cl10_da		8
top_va_to_da		8
prof_va_to_da		8
arctop_va_to_da		8
towhold_va_cl_da		8
prof_va_cl_da		8
prof3_va_cl_da		8
prof30_va_cl_da		8
prof2_va_cl_da		8
frame_va_cl_da		8
fog_va_cl_da		8
cornprof_va_cl_da		8
fog_sw_to_da		8
rog_sw_cl_da		8
fog_sw_cl_da		8
fog_pr_to_da		8
fogcs_pr_to_da		8
fog_pr_cl_da		8
Redlining-Wolke rund 24		8
Redlining-Wolke rechteckig 24		8
Leuchtenband 24		8
Mikrowelle 24		8
Infrarotgrill 24		8
Heißwassergerät allgemein 24		8
SAN 24		8
Text Kreis 2 24		8
Pfeil gebogen 24		8
Kreisdiagramm Segment 24		8
Behindertenzeichen 24		8
ui_steelStructureCategories		7
Window_Panel_Collection		7
Shutter_Panel_Collection		7
Object_Panel_Collection		7
Knob_Collection		7
DW_Hardware_Collection		7
Door_Panel_Collection		7
CW_Panel_Collection		7
CW_Frame_Collection		7
CW_Cap_Collection		7
Eigenen Komponenten Sammlung		7
SaveQueue		7
ui_tabIDlist_m		7
Datum 24		7
Hochspannung 24		7
Schraubsicherung 24		7
Elektrizitätszähler 24		7
Einfahrtbereich 24		7
Einfahrt 24		7
Ber. ohne Ein- u. Ausf 24		7
Höhenlage 24		7
Nadelwald 24		7
Mischwald 24		7
Laubwald 24		7
Grenzbaum Nadel 24		7
Grenzbaum Laub 24		7
Grenzbaum Birke 24		7
Einzelbaum Nadel 24		7
Einzelbaum Laub 24		7
Baumschule 24		7
Alleinst. Baum Nadel 24		7
Alleinst. Baum Laub 24		7
Alleinst. Baum Birke 24		7
Stollenmundloch 2 24		7
Stollenmundloch 1 24		7
Spannungszeichen 24		7
Hochspannungsmast 24		7
Funkmast 24		7
Bergwerksanlage 24		7
Ziehbrunnen 24		7
Wasserpumpe 24		7
Polizeirufsäule 24		7
Fahnenmast 24		7
Text Quadrat 24		7
Text Kreis 1 24		7
Rechteck 24		7
Pfeil gerade 24		7
Kreis 24		7
Halbkreis 24		7
Dreieck 24		7
Geräteeignung 24		6
Fehlerstrom-Ss. (Temp.) 24		6
Wechselstrom 24		6
Gleichstrom 24		6
Drehstrom+Mittelp.leiter 24		6
Transformator 24		6
Schutzschalter thermisch 24		6
Fehlerstrom-Schutzschalt 24		6
Leuchtstofflampe 24		6
SS 2_17 24		6
Fahrgassen 24		6
AW 1_20 24		6
AW 1_17 24		6
AW 1_16 24		6
AS 3_19 24		6
AS 3_17 24		6
AS 3_16 24		6
AS 3_15 24		6
Zeitrelais 24		5
Schlagw.gesch. Leuchte 24		5
Expl.geschützte Leuchte 24		5
Zeltplatz BauPrüfVO NW 24		5
Zeltplatz 24		5
Sportplatz 2D 24		5
Spielplatz 24		5
Parkanlage 24		5
Friedhof 24		5
Dauerkleingärten 24		5
Badeplatz Freibad 24		5
52_35 24		5
52_33 24		5
52_32_2 24		5
52_32_1 24		5
51_31 24		5
51_30 24		5
SS 2_19 24		5
SS 2_16 24		5
SS 2_15 24		5
SS 1_18 24		5
HSS 3_19 24		5
HSS 3_17 24		5
HSS 3_16 24		5
HSS 3_15 24		5
HSS 2_18 24		5
HSS 1_18 24		5
HSS 1_17 24		5
AW 2_19 24		5
AW 1_19 24		5
AS 4_20 24		5
AS 4_17 24		5
AS 4_16 24		5
AS 3_20 24		5
AS 2_18 24		5
AS 2_17 24		5
AS 2_16 24		5
AS 2_15 24		5
AS 1_18 24		5
Verteiler 24		4
Dose allgemein 24		4
Infrarotstrahler 24		4
WC E Symbol 24		3
Urinal E Symbol 24		3
Lüfter, Ventilator 24		3
Speicherheizgerät 24		3
Raumheizgerät 24		3
Kühlgerät 24		3
Klimagerät 24		3
Übergangsstück 24		3
Regensinkkasten 24		3
Putzschacht 2 24		3
Putzschacht 1 24		3
Lüftungsl. ü. Dach 24		3
Fäkalienhebeanlage S 24		3
Fäkalienhebeanlage G 24		3
Falleitung hindurchgeh 24		3
Falleitung endend 24		3
Falleitung beginnend 24		3
Bodenablauf 24		3
Abfallrohr 24		3
Spielzeugtransformator 24		3
Sicherheitztransformator 24		3
Schutzklasse III 24		3
Schutzklasse II 24		3
Schutzklasse I 24		3
Fehlerstrom-Ss 24		3
Mittlere Frequenzen 24		3
Hohe Frequenzen 24		3
Wechselrichter 24		3
Tonfreq.Rundsteuerrelais 24		3
Sicherung, allgemein 24		3
Schutzerdung 24		3
Schaltzeichen für Erde allgemein 24		3
Schaltuhr 24		3
Schalter allgemein 24		3
Photovoltaik-Modul 24		3
Motor allgemein 24		3
Leitungsschutzschalter 24		3
Hausanschlusskasten 24		3
Gleichrichter 24		3
Element 24		3
Verstärker 24		3
Rundfunkgerät 24		3
Lautsprecher Symbol 24		3
Fernsehgerät 24		3
Antenne allgemein 24		3
Vorschaltgerät 24		3
Sicherheitsleuchte 24		3
Sicherheitsl. + stromf 24		3
Scheinwerfer 24		3
Punktleuchte 24		3
Möbelleuchte MM 24		3
Möbelleuchte M 24		3
Leuchtenauslass 24		3
Leuchte FF 24		3
Leuchte F 24		3
Flutlichtleuchte 24		3
Ballwurfsichere Leuchte 24		3
Tonübertragung 24		3
Schutzleiter 24		3
Neutralleiter, Mittelleiter 24		3
Neutralleiter 24		3
Leitung nach unten 24		3
Leitung nach oben-unten 24		3
Leitung nach oben 24		3
Leitung bewegbar 24		3
Leitung 24		3
Leiterverbindung 24		3
Fernsprechleitung 24		3
Datenübertragung 24		3
Bildübertragung 24		3
Antennenleitung 24		3
Abzweigdose 24		3
IP X8 Druckwasserdicht 24		3
IP X7 Wasserdicht 24		3
IP X6 Strahlwassergesch 24		3
IP X5 Strahlwassergesch 24		3
IP X4 Spritzwassergesch 24		3
IP X3 Sprühwassergesch 24		3
IP X2 Tropwassergesch 24		3
IP X1 Tropwassergesch 24		3
Taster geschützt 24		3
Wechselsprechanlage 24		3
Summer 24		3
Sirene 24		3
Leuchtmelder 24		3
Lampe allgemein 24		3
Klingel 24		3
Horn, Hupe 24		3
Gong 24		3
Gegensprechanlage allgemein 24		3
Fernsprechgerät allgemein 24		3
Fernmeldezentrale 24		3
Elektrischer Türöffner 24		3
Dämmerungsschalter 24		3
Überfallmelder 24		3
Zentrale 24		3
Vibrationskontakt 24		3
Ultraschall-Bew.melder 24		3
Schließblechkontakt 24		3
Optischer Signalgeber 24		3
Notstromversorgung 24		3
Magnetkontakt 24		3
Körperschallmelder 24		3
Infrarot-Bewegungsmelder 24		3
Glasbruch Melder 24		3
Blockschloss 24		3
Akustischer Signalgeber 24		3
Wiese naß 24		3
Weingarten 24		3
Streuwiese 24		3
Obstbaumanlagen 24		3
Moor 24		3
Korbweiden 24		3
Hutung 24		3
Hopfenpflanzung 24		3
Heide 24		3
Grünland 24		3
Gartenland 24		3
Friedhof nicht Christen 24		3
Friedhof Christen 24		3
Umgrenzung Symbol 24		3
Ölpumpe 24		3
Windmotor 24		3
Unterflurhydrant 24		3
Portalkran 24		3
Oberflurhydrant 24		3
Drehkran 24		3
Bohrturm 24		3
Baugewerbe 24		3
Warntafel 24		3
Warnlichtanlage 2 24		3
Warnlichtanlage 1 24		3
Warnkreuz b 24		3
Warnkreuz 2 24		3
Warnkreuz 1 24		3
Verkehrsampel 24		3
Tankstelle 24		3
Springbrunnen 24		3
Laterne 24		3
Hinweistafel 24		3
Haltlicht am Wegübergang 24		3
Feuermelder 24		3
Fernsprechhäuschen 24		3
Drehkreuz 24		3
Denkmal 24		3
Bildstock 24		3
Bake 24		3
Rechteck voll 24		3
Kreuz 24		3
Kreis voll 24		3
Halbkreis voll 24		3
Dreieck voll 24		3
